"data","preco_real","preco_dolar","valor_dolar","dias"
"06/2020","483.25","93.00","5.20","0"
"07/2020","505.97","95.90","5.28","1"
"08/2020","578.85","106.03","5.46","2"
"09/2020","564.62","104.66","5.40","3"
"10/2020","536.60","95.33","5.63","4"
"11/2020","565.47","104.38","5.42","5"
"12/2020","594.33","115.62","5.14","6"
"01/2021","639.71","119.40","5.36","7"
"02/2021","685.21","126.35","5.42","8"
"03/2021","731.86","129.75","5.64","9"
"04/2021","744.14","133.81","5.57","10"
"05/2021","822.24","155.39","5.29","11"
"06/2021","850.96","169.36","5.02","12"
"07/2021","914.54","177.15","5.16","13"
"08/2021","1033.92","196.96","5.25","14"
"09/2021","1087.61","205.48","5.29","15"
"10/2021","1222.20","220.78","5.54","16"
"11/2021","1347.73","242.40","5.56","17"
"12/2021","1452.15","256.67","5.66","18"
"01/2022","1482.59","268.44","5.53","19"
"02/2022","1485.35","286.16","5.19","20"
"03/2022","1284.41","258.71","4.97","21"
"04/2022","1251.33","263.40","4.75","22"
"05/2022","1261.08","255.04","4.95","23"
